SYMBOL,COMPANY NAME,MARKET CAP,MARKET CAP CATEGORY,EXCHANGE,KITE_ID,SHOONYA_TOKEN
BAYERCROP,Bayer Cropscience Limited,28662.77253,Small Cap,NSE,4589313,17927
BANDHANBNK,Bandhan Bank Limited,28605.9692,Small Cap,NSE,579329,2263
INOXWIND,Inox Wind Limited,28548.04193,Small Cap,NSE,2010113,7852
ISEC,ICICI Securities Limited,28382.81912,Small Cap,NSE,637185,2489
POLYMED,Poly Medicure Limited,28274.51433,Small Cap,NSE,6583809,25718
SUMICHEM,Sumitomo Chemical India Limited,28259.79822,Small Cap,NSE,4378881,17105
HINDCOPPER,Hindustan Copper Limited,28217.80603,Small Cap,NSE,4592385,17939
AIIL,Authum Investment & Infrastructure Limited,28166.2423,Small Cap,NSE,6029569,23553
HSCL,Himadri Speciality Chemical Limited,28026.24102,Small Cap,NSE,3669505,14334
SUNDRMFAST,Sundram Fasteners Limited,27983.79663,Small Cap,NSE,856321,3345
AEGISLOG,Aegis Logistics Limited,27738.57731,Small Cap,NSE,10241,40
MSUMI,Motherson Sumi Wiring India Limited,27649.78258,Small Cap,NSE,2200577,8596
ANGELONE,Angel One Limited,27304.98458,Small Cap,NSE,82945,324
EMCURE,Emcure Pharmaceuticals Limited,27296.29614,Small Cap,NSE,6245889,24398
GLAND,Gland Pharma Limited,27054.75011,Small Cap,NSE,303617,1186
CARBORUNIV,Carborundum Universal Limited,26954.89618,Small Cap,NSE,152321,595
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,26503.61692,Small Cap,NSE,4330241,16915
DELHIVERY,Delhivery Limited,26261.26807,Small Cap,NSE,2457345,9599
NBCC,NBCC (India) Limited,26227.80047,Small Cap,NSE,8042241,31415
LAURUSLABS,Laurus Labs Limited,26165.38399,Small Cap,NSE,4923905,19234
MRPL,Mangalore Refinery and Petrochemicals Limited,26061.16209,Small Cap,NSE,584449,2283
WHIRLPOOL,Whirlpool of India Limited,25801.32495,Small Cap,NSE,4610817,18011
TIMKEN,Timken India Limited,25617.74223,Small Cap,NSE,3634689,14198
RATNAMANI,Ratnamani Metals & Tubes Limited,25498.06858,Small Cap,NSE,3443457,13451
LALPATHLAB,Dr. Lal Path Labs Ltd.,25359.17158,Small Cap,NSE,2983425,11654
CROMPTON,Crompton Greaves Consumer Electricals Limited,25327.62747,Small Cap,NSE,4376065,17094
KEC,KEC International Limited,25286.33815,Small Cap,NSE,3394561,13260
SKFINDIA,SKF India Limited,25258.11999,Small Cap,NSE,815617,3186
ARE&M,Amara Raja Energy & Mobility Limited,24839.58252,Small Cap,NSE,25601,100
NH,Narayana Hrudayalaya Ltd.,24829.99132,Small Cap,NSE,3031041,11840
NATCOPHARM,Natco Pharma Limited,24763.74753,Small Cap,NSE,1003009,3918
CESC,CESC Limited,24285.86557,Small Cap,NSE,160769,628
PEL,Piramal Enterprises Limited,24235.20297,Small Cap,NSE,617473,2412
PNBHOUSING,PNB Housing Finance Limited,23983.51032,Small Cap,NSE,4840449,18908
NUVAMA,Nuvama Wealth Management Limited,23982.08164,Small Cap,NSE,4792577,18721
GRINDWELL,Grindwell Norton Limited,23850.81795,Small Cap,NSE,3471361,13560
JYOTICNC,Jyoti CNC Automation Limited,23720.21944,Small Cap,NSE,5461505,21334
ANANTRAJ,Anant Raj Limited,23696.62157,Small Cap,NSE,3486721,13620
HATSUN,Hatsun Agro Product Limited,23491.0892,Small Cap,NSE,996353,3892
PFIZER,Pfizer Limited,23320.11725,Small Cap,NSE,676609,2643
FSL,Firstsource Solutions Limited,23316.54881,Small Cap,NSE,3661825,14304
SHYAMMETL,Shyam Metalics and Energy Limited,23291.32728,Small Cap,NSE,1201409,4693
KANSAINER,Kansai Nerolac Paints Limited,23087.81834,Small Cap,NSE,306177,1196
ATUL,Atul Limited,22701.83588,Small Cap,NSE,67329,263
EIHOTEL,EIH Limited,22438.05839,Small Cap,NSE,235265,919
FIVESTAR,Five-Star Business Finance Limited,22382.49206,Small Cap,NSE,3080193,12032
ABSLAMC,Aditya Birla Sun Life AMC Limited,22227.84512,Small Cap,NSE,1540609,6018
TEJASNET,Tejas Networks Limited,22012.96077,Small Cap,NSE,5409537,21131
